Pruning table sizes in MB
Exact pruning value : exact number of moves needed to solve the block
corners/edges       0         1         2         3         4         5         6         7         8
0            1.00e-06  2.40e-05  5.28e-04  1.06e-02  1.90e-01  3.04e+00  4.26e+01  5.11e+02  5.11e+03
1            2.40e-05  5.76e-04  1.27e-02  2.53e-01  4.56e+00  7.30e+01  1.02e+03  1.23e+04  1.23e+05
2            5.04e-04  1.21e-02  2.66e-01  5.32e+00  9.58e+01  1.53e+03  2.15e+04  2.58e+05  2.58e+06
3            9.07e-03  2.18e-01  4.79e+00  9.58e+01  1.72e+03  2.76e+04  3.86e+05  4.64e+06  4.64e+07
4            1.36e-01  3.27e+00  7.19e+01  1.44e+03  2.59e+04  4.14e+05  5.79e+06  6.95e+07  6.95e+08
5            1.63e+00  3.92e+01  8.62e+02  1.72e+04  3.10e+05  4.97e+06  6.95e+07  8.34e+08  8.34e+09
6            1.47e+01  3.53e+02  7.76e+03  1.55e+05  2.79e+06  4.47e+07  6.26e+08  7.51e+09  7.51e+10
7            8.82e+01  2.12e+03  4.66e+04  9.31e+05  1.68e+07  2.68e+08  3.75e+09  4.51e+10  4.51e+11
8            2.65e+02  6.35e+03  1.40e+05  2.79e+06  5.03e+07  8.05e+08  1.13e+10  1.35e+11  1.35e+12

Permutation pruning value : number of moves needed to restore the block pieces
to their home positions in the solved permutation state, but they can be misoriented
corners/edges       0         1         2         3         4         5         6         7         8         9        10        11        12
0            1.00e-06  1.20e-05  1.32e-04  1.32e-03  1.19e-02  9.50e-02  6.65e-01  3.99e+00  2.00e+01  7.98e+01  2.40e+02  4.79e+02  4.79e+02
1            8.00e-06  9.60e-05  1.06e-03  1.06e-02  9.50e-02  7.60e-01  5.32e+00  3.19e+01  1.60e+02  6.39e+02  1.92e+03  3.83e+03  3.83e+03
2            5.60e-05  6.72e-04  7.39e-03  7.39e-02  6.65e-01  5.32e+00  3.73e+01  2.24e+02  1.12e+03  4.47e+03  1.34e+04  2.68e+04  2.68e+04
3            3.36e-04  4.03e-03  4.44e-02  4.44e-01  3.99e+00  3.19e+01  2.24e+02  1.34e+03  6.71e+03  2.68e+04  8.05e+04  1.61e+05  1.61e+05
4            1.68e-03  2.02e-02  2.22e-01  2.22e+00  2.00e+01  1.60e+02  1.12e+03  6.71e+03  3.35e+04  1.34e+05  4.02e+05  8.05e+05  8.05e+05
5            6.72e-03  8.06e-02  8.87e-01  8.87e+00  7.98e+01  6.39e+02  4.47e+03  2.68e+04  1.34e+05  5.36e+05  1.61e+06  3.22e+06  3.22e+06
6            2.02e-02  2.42e-01  2.66e+00  2.66e+01  2.40e+02  1.92e+03  1.34e+04  8.05e+04  4.02e+05  1.61e+06  4.83e+06  9.66e+06  9.66e+06
7            4.03e-02  4.84e-01  5.32e+00  5.32e+01  4.79e+02  3.83e+03  2.68e+04  1.61e+05  8.05e+05  3.22e+06  9.66e+06  1.93e+07  1.93e+07
8            4.03e-02  4.84e-01  5.32e+00  5.32e+01  4.79e+02  3.83e+03  2.68e+04  1.61e+05  8.05e+05  3.22e+06  9.66e+06  1.93e+07  1.93e+07

Orientation pruning value : number of moves needed to restore the block pieces
to their home positions in the solved orientation, but they can be permuted
corners/edges
              0         1         2         3         4         5         6         7        8          9        10        11        12
0      1.00e-06  2.40e-05  2.64e-04  1.76e-03  7.92e-03  2.53e-02  5.91e-02  1.01e-01  1.27e-01  1.13e-01  6.76e-02  2.46e-02  4.10e-03
1      2.40e-05  5.76e-04  6.34e-03  4.22e-02  1.90e-01  6.08e-01  1.42e+00  2.43e+00  3.04e+00  2.70e+00  1.62e+00  5.90e-01  9.83e-02
2      2.52e-04  6.05e-03  6.65e-02  4.44e-01  2.00e+00  6.39e+00  1.49e+01  2.55e+01  3.19e+01  2.84e+01  1.70e+01  6.19e+00  1.03e+00
3      1.51e-03  3.63e-02  3.99e-01  2.66e+00  1.20e+01  3.83e+01  8.94e+01  1.53e+02  1.92e+02  1.70e+02  1.02e+02  3.72e+01  6.19e+00
4      5.67e-03  1.36e-01  1.50e+00  9.98e+00  4.49e+01  1.44e+02  3.35e+02  5.75e+02  7.19e+02  6.39e+02  3.83e+02  1.39e+02  2.32e+01
5      1.36e-02  3.27e-01  3.59e+00  2.40e+01  1.08e+02  3.45e+02  8.05e+02  1.38e+03  1.72e+03  1.53e+03  9.20e+02  3.34e+02  5.57e+01
6      2.04e-02  4.90e-01  5.39e+00  3.59e+01  1.62e+02  5.17e+02  1.21e+03  2.07e+03  2.59e+03  2.30e+03  1.38e+03  5.02e+02  8.36e+01
7      1.75e-02  4.20e-01  4.62e+00  3.08e+01  1.39e+02  4.43e+02  1.03e+03  1.77e+03  2.22e+03  1.97e+03  1.18e+03  4.30e+02  7.17e+01
8      6.56e-03  1.57e-01  1.73e+00  1.15e+01  5.20e+01  1.66e+02  3.88e+02  6.65e+02  8.31e+02  7.39e+02  4.43e+02  1.61e+02  2.69e+01

layout
corners/edges  0         1         2         3         4         5         6         7         8         9        10        11        12
0       1.00e-06  1.20e-05  6.60e-05  2.20e-04  4.95e-04  7.92e-04  9.24e-04  7.92e-04  4.95e-04  2.20e-04  6.60e-05  1.20e-05  1.00e-06
1       8.00e-06  9.60e-05  5.28e-04  1.76e-03  3.96e-03  6.34e-03  7.39e-03  6.34e-03  3.96e-03  1.76e-03  5.28e-04  9.60e-05  8.00e-06
2       2.80e-05  3.36e-04  1.85e-03  6.16e-03  1.39e-02  2.22e-02  2.59e-02  2.22e-02  1.39e-02  6.16e-03  1.85e-03  3.36e-04  2.80e-05
3       5.60e-05  6.72e-04  3.70e-03  1.23e-02  2.77e-02  4.44e-02  5.17e-02  4.44e-02  2.77e-02  1.23e-02  3.70e-03  6.72e-04  5.60e-05
4       7.00e-05  8.40e-04  4.62e-03  1.54e-02  3.47e-02  5.54e-02  6.47e-02  5.54e-02  3.47e-02  1.54e-02  4.62e-03  8.40e-04  7.00e-05
5       5.60e-05  6.72e-04  3.70e-03  1.23e-02  2.77e-02  4.44e-02  5.17e-02  4.44e-02  2.77e-02  1.23e-02  3.70e-03  6.72e-04  5.60e-05
6       2.80e-05  3.36e-04  1.85e-03  6.16e-03  1.39e-02  2.22e-02  2.59e-02  2.22e-02  1.39e-02  6.16e-03  1.85e-03  3.36e-04  2.80e-05 
7       8.00e-06  9.60e-05  5.28e-04  1.76e-03  3.96e-03  6.34e-03  7.39e-03  6.34e-03  3.96e-03  1.76e-03  5.28e-04  9.60e-05  8.00e-06
8       1.00e-06  1.20e-05  6.60e-05  2.20e-04  4.95e-04  7.92e-04  9.24e-04  7.92e-04  4.95e-04  2.20e-04  6.60e-05  1.20e-05  1.00e-06
